Case_Number,Date,Offense,Description,Block,City,State,latitude,longitude
2018009325,9/3/18,Assault,DOMESTIC  PHYSI,PETWORTH CT,,IL,41.726142,-88.135601
2018004717,5/8/18,Assault,DOMESTIC  VERBA,SKYLANE DR,,IL,41.713618,-88.194731
2018005750,6/2/18,Assault,DOMESTIC  PHYSI,BAINBRIDGE DR,,IL,41.790852,-88.192834
2018001148,1/30/18,Assault,SUSPICIOUS VEH,E BAILEY RD,,IL,41.740441,-88.126846
2018001664,2/14/18,Assault,BATTERY  COLD,FORT HILL DR,,IL,41.769225,-88.195965
2018011202,10/24/18,Assault,DOMESTIC  PHYSI,AUDREY AV,,IL,41.749559,-88.200077
2018000774,1/22/18,Assault,BATTERY  COLD,CEDAR GLADE DR,,IL,41.709666,-88.200934
2018002304,3/4/18,Assault,DOMESTIC  PHYSI,INLAND CR,,IL,41.782273,-88.210409
2018005315,5/4/18,Assault,BATTERY  COLD,OLYMPUS DR,,IL,41.747501,-88.139256
2018009913,9/18/18,Assault,DOMESTIC  VERBA,FAIRWAY DR,,IL,41.790881,-88.217111
2018004658,5/7/18,Assault,BATTERY  COLD,BOND ST,,IL,41.788584,-88.202334
2018004370,4/30/18,Assault,SUICIDE THREATS,S WHISPERING HILLS DR,,IL,41.775669,-88.182141
2018001542,2/10/18,Assault,DOMESTIC DELAYE,NORWICH CT,,IL,41.725466,-88.152113
2018007570,7/18/18,Assault,DISORDERLY COND,SWIFT LN,,IL,41.744925,-88.135469
2018012882,12/8/18,Assault,WELL BEING CHEC,NORTH AURORA RD,,IL,41.780013,-88.183631
2018013095,12/14/18,Assault,BATTERY IN PROG,BROOKDALE RD,,IL,41.784625,-88.194241
2018001671,2/14/18,Assault,FIGHT IN PROGRE,S WEST ST,,IL,41.760851,-88.158016
2018006061,6/9/18,Assault,DOMESTIC  PHYSI,S WHISPERING HILLS DR,,IL,41.775669,-88.182141
2018013576,12/30/18,Assault,DISORDERLY COND,W CHICAGO AV,,IL,41.771594,-88.146739
2018001517,2/9/18,Assault,CITIZEN ASSIST,KIOWA DR,,IL,41.739415,-88.119862
2018013200,12/17/18,Assault,BATTERY  COLD,S ROUTE 59,,IL,41.757131,-88.205942
2018000921,1/25/18,Assault,FIGHT IN PROGRE,E OGDEN AV,,IL,41.785719,-88.147133
2018011673,11/5/18,Assault,DOMESTIC  PHYSI,SECRETARIAT DR,,IL,41.758612,-88.126131
2018011143,10/23/18,Assault,DOMESTIC DELAYE,SNAPJACK CR,,IL,41.683786,-88.189279
2018002802,3/18/18,Assault,FIGHT IN PROGRE,N SLEIGHT ST,,IL,41.785846,-88.139733
2018008441,8/9/18,Assault,SUICIDE THREATS,HERCULES LN,,IL,41.751188,-88.141582
2018006889,6/30/18,Assault,DISORDERLY COND,CENTER ST,,IL,41.778601,-88.146215
2018013200,12/17/18,Assault,BATTERY  COLD,S ROUTE 59,,IL,41.757131,-88.205942
2018000755,1/22/18,Assault,UNWANTED SUBJEC,BRIERGATE DR,,IL,41.788735,-88.169804
2018007631,7/19/18,Assault,DISORDERLY COND,POMEROON ST,,IL,41.757166,-88.190437
